protein_id,study,class,cluster30,split_group
7d86_A,A,Zn,22749,22749
6kfs_A,A,Zn,28226,28226
7pab_C,A,Zn,18327,18327
3iuf_A,A,Zn,76992,76992
1ia9_A,A,Zn,8395,8395
2cc0_A,A,Zn,5088,5088
2yr2_B,A,Zn,20506,20506
7dn6_A,A,Zn,2293,2293
5whg_A,A,Zn,39953,39953
3rfn_A,A,Zn,44878,44878
6tvk_AAA,A,Zn,223211,223211
5dag_A,A,Zn,17104,17104
4ilo_A,A,Zn,189332,189332
2wxu_A,A,Zn,13031,13031
6j0d_A,A,Zn,32208,32208
7ae5_a,A,Zn,41650,41650
6sym_A,A,Zn,2600,2600
2f3b_A,A,Zn,1579,1579
4u08_A,A,Zn,19397,19397
7mnr_B,A,Zn,3020,3020
8rp6_AAA,A,Zn,779,779
5ywr_B,A,Zn,15305,15305
2anu_A,A,Zn,173077,173077
3tc8_A,A,Zn,22392,22392
2v9k_A,A,Zn,14836,14836
6twm_A,A,Zn,32502,32502
5b2o_A,A,Zn,17385,17385
1rk6_A,A,Zn,10712,10712
3t3w_B,A,Zn,40184,40184
4cn9_A,A,Zn,56157,56157
4ybb_D5,A,Zn,87,87
1py2_B,A,Zn,3128,3128
5w83_B,A,Zn,854,854
7m3k_A,A,Zn,11760,11760
7pva_C,A,Zn,21878,21878
3u6p_A,A,Zn,277,277
4xba_B,A,Zn,20782,20782
4bn4_A,A,Zn,3800,3800
5m3k_B,A,Zn,36048,36048
3e2i_A,A,Zn,5711,5711
5xwd_H,A,Zn,4514,4514
6jf8_C,A,Zn,16481,16481
4ruw_A,A,Zn,251463,251463
3byr_A,A,Zn,57520,57520
4mn5_A,A,Zn,5914,5914
2cbi_B,A,Zn,8398,8398
4u4r_d6,A,Zn,701,701
4x29_A,A,Zn,51858,51858
5nbc_C,A,Zn,3835,3835
8rio_A,A,Zn,15098,15098
3s2j_A,A,Zn,7072,7072
3x1l_A,A,Zn,23241,23241
3rui_A,A,Zn,2935,2935
7x0r_A,A,Zn,11863,11863
1hc7_D,A,Zn,2446,2446
5ei9_F,A,Zn,9525,9525
6pw8_A,A,Zn,9069,9069
2z8x_A,A,Zn,19188,19188
5ji5_A,A,Zn,48272,48272
1h2b_A,A,Zn,2770,2770
4lqf_A,A,Zn,16228,16228
1c7k_A,A,Zn,28506,28506
5mvw_B,A,Zn,20797,20797
1uwz_A,A,Zn,20459,20459
4z40_D,A,Zn,37344,37344
1y0y_A,A,Zn,11429,11429
1t0b_A,A,Zn,193329,193329
1q08_A,A,Zn,8181,8181
4axv_A,A,Zn,26415,26415
6r4z_B,A,Zn,7637,7637
5xfr_A,A,Zn,16418,16418
8dgd_A,A,Zn,7811,7811
4ar9_A,A,Zn,5698,5698
3oa4_A,A,Zn,6478,6478
3ce2_A,A,Zn,19234,19234
7qe1_A,A,Zn,32000,32000
6vyo_A,A,Zn,1963,1963
9eu2_A,A,Zn,7431,7431
1kl9_A,A,Zn,3496,3496
5hee_A,A,Zn,264363,264363
4a7k_A,A,Zn,48837,48837
4s25_A,A,Zn,2088,2088
2zwi_A,A,Zn,8572,8572
8he1_A,A,Zn,18131,18131
5vdc_A,A,Zn,8497,8497
5tj3_A,A,Zn,38009,38009
2p46_A,A,Zn,397,397
2az4_A,A,Zn,262336,262336
3csv_A,A,Zn,94640,94640
8pnn_d9,A,Zn,2385,2385
4fxo_A,A,Zn,457,457
4m0w_A,A,Zn,43,43
7m6u_A,A,Zn,124632,124632
4me3_A,A,Zn,131726,131726
3c37_A,A,Zn,73519,73519
4z65_A,A,Zn,2732,2732
5vsc_A,A,Zn,5500,5500
1dy0_A,A,Zn,16055,16055
4rul_A,A,Zn,5499,5499
8h1e_A,A,Zn,10780,10780
4mj7_A,A,Zn,34217,34217
4dgu_A,A,Zn,177212,177212
9j9m_A,A,Zn,1305,1305
3n3u_A,A,Zn,58008,58008
4y4o_14,A,Zn,509,509
8rsm_A,A,Zn,25785,25785
6uzi_A,A,Zn,1408,1408
4v1t_A,A,Zn,42779,42779
5tda_A,A,Zn,9495,9495
7xp1_A,A,Zn,70637,70637
8sbm_B,A,Zn,9171,9171
5mtm_B,A,Zn,3022,3022
5hda_A,A,Zn,32636,32636
3bb6_A,A,Zn,22270,22270
6gs2_B,A,Zn,20992,20992
2qha_A,A,Zn,29069,29069
6cme_A,A,Zn,69306,69306
6zr5_C,A,Zn,9363,9363
6zsv_A,A,Zn,73430,73430
3cxk_A,A,Zn,4963,4963
2wvl_B,A,Zn,19286,19286
6thk_A,A,Zn,95947,95947
5abx_A,A,Zn,21664,21664
5ch8_A,A,Zn,4179,4179
2vu4_A,A,Zn,6571,6571
7zqy_A,A,Zn,14890,14890
6uuq_A,A,Zn,1183,1183
3tg0_A,A,Zn,3457,3457
7fct_A,A,Zn,203351,203351
3ngj_A,A,Zn,2064,2064
1n4q_B,A,Zn,6928,6928
3bvx_A,A,Zn,2255,2255
9jrr_A,A,Zn,29865,29865
2fqp_A,A,Zn,55617,55617
2oo4_A,A,Zn,2774,2774
6g77_A,A,Zn,2450,2450
8byk_A,A,Zn,60203,60203
3r8b_B,A,Zn,4017,4017
3w0f_A,A,Zn,18989,18989
4i1f_A,A,Zn,4524,4524
1au1_B,A,Zn,1924,1924
4mvt_A,A,Zn,12710,12710
6dk9_A,A,Zn,16645,16645
6vz0_A,A,Zn,11479,11479
1odz_A,A,Zn,15977,15977
4pzi_A,A,Zn,30908,30908
2drp_A,A,Zn,90563,90563
2nut_B,A,Zn,6691,6691
6hsh_D,A,Zn,4373,4373
2g19_A,A,Zn,2788,2788
7e44_F,A,Zn,2201,2201
4blb_A,A,Zn,8665,8665
5u00_B,A,Zn,4027,4027
6ndh_C,A,Zn,4084,4084
6fc3_B,A,Zn,26666,26666
9f46_A,A,Zn,18190,18190
6kak_A,A,Zn,17996,17996
5ls4_A,A,Zn,6921,6921
7om5_A,A,Zn,879,879
6x6x_A,A,Zn,5740,5740
6uxu_A,A,Zn,200026,200026
3eqn_A,A,Zn,21646,21646
5jgf_A,A,Zn,15728,15728
8uw9_A,A,Zn,2343,2343
6wcw_A,A,Zn,42200,42200
4qhj_A,A,Zn,32496,32496
2vun_A,A,Zn,95685,95685
5hzd_A,A,Zn,36907,36907
3neh_A,A,Zn,93826,93826
3zvs_A,A,Zn,17374,17374
2xc2_A,A,Zn,12168,12168
6dcr_A,A,Zn,5653,5653
3b34_A,A,Zn,1539,1539
6lqf_A,A,Zn,13279,13279
6smk_A,A,Zn,86462,86462
2pdo_B,A,Zn,7752,7752
5kz6_A,A,Zn,17535,17535
4oko_A,A,Zn,119289,119289
1ubd_C,A,Zn,18562,18562
6jwj_A,A,Zn,6413,6413
4wvt_A,A,Zn,46396,46396
1q9u_B,A,Zn,69792,69792
2oog_A,A,Zn,9602,9602
2di3_A,A,Zn,162402,162402
8c61_A,A,Zn,52605,52605
4gqt_A,A,Zn,188,188
1oao_C,A,Zn,4503,4503
7pcv_A,A,Zn,23320,23320
5ic5_A,A,Zn,57427,57427
3mi9_C,A,Zn,19866,19866
4u9b_A,A,Zn,29349,29349
6aa4_A,A,Zn,1513,1513
4v3l_C,A,Zn,14865,14865
3fed_A,A,Zn,1824,1824
4lim_A,A,Zn,10452,10452
8chy_A,A,Zn,2174,2174
3fav_C,A,Zn,24283,24283
2jlp_A,A,Zn,28707,28707
7z6t_AAA,A,Zn,3015,3015
5k9g_B,A,Zn,1779,1779
3oru_A,A,Zn,52722,52722
7auc_A,A,Zn,7345,7345
5fer_D,A,Zn,14650,14650
4qc1_A,A,Zn,722,722
1a6f_A,A,Zn,578,578
2yc5_A,A,Zn,14477,14477
1taf_B,A,Zn,33500,33500
4r25_A,A,Zn,6097,6097
3zq6_A,A,Zn,13140,13140
7mkr_AAA,A,Zn,17133,17133
1qx0_A,A,Zn,6696,6696
1mvh_A,A,Zn,20455,20455
5cvi_B,A,Zn,14236,14236
7mo5_B,A,Zn,10631,10631
5zi6_A,A,Zn,16367,16367
7vlz_A,A,Zn,28918,28918
7yx8_A,A,Zn,19708,19708
9fgp_A,A,Zn,11340,11340
3nvo_A,A,Zn,3613,3613
6k02_A,A,Zn,16033,16033
5f1c_A,A,Zn,100253,100253
1ete_A,A,Zn,30869,30869
2oik_A,A,Zn,75775,75775
2v9l_A,A,Zn,2632,2632
6w7z_B,A,Zn,15063,15063
7ox4_B,A,Zn,361,361
8th9_A,A,Zn,29879,29879
3lpe_B,A,Zn,50233,50233
1pq4_A,A,Zn,28714,28714
6on5_A,A,Zn,1340,1340
8odq_C,A,Zn,2428,2428
4y4o_29,A,Zn,166,166
1r8q_E,A,Zn,2518,2518
5xm5_B,A,Zn,11765,11765
1tt5_B,A,Zn,5813,5813
5erc_A,A,Zn,406,406
5czw_A,A,Zn,58006,58006
2cs7_A,A,Zn,130068,130068
4tsd_A,A,Zn,97135,97135
5o6c_A,A,Zn,31546,31546
3qbe_A,A,Zn,4013,4013
1l1o_C,A,Zn,5360,5360
7b2i_A,A,Zn,8017,8017
3sb5_A,A,Zn,655,655
7poh_A,A,Zn,58699,58699
3t7l_A,A,Zn,36005,36005
2byo_A,A,Zn,32020,32020
1ml9_A,A,Zn,33031,33031
5ynm_B,A,Zn,2026,2026
7bv5_C,A,Zn,47120,47120
6v4c_A,A,Zn,10647,10647
3cbb_A,A,Zn,9651,9651
1vsr_A,A,Zn,21724,21724
4on1_A,A,Zn,126223,126223
8atj_AAA,A,Zn,9287,9287
3e1z_A,A,Zn,11925,11925
5ofs_A,A,Zn,2346,2346
6cbs_A,A,Zn,7930,7930
4c2m_B,A,Zn,3264,3264
3g9m_B,A,Zn,1698,1698
5h3j_A,A,Zn,19541,19541
5xbn_A,A,Zn,22724,22724
4y8a_A,A,Zn,19263,19263
1xru_A,A,Zn,2143,2143
1zde_A,A,Zn,2407,2407
6xt6_A,A,Zn,714,714
2qfa_A,A,Zn,4347,4347
1gax_A,A,Zn,603,603
1jaz_A,A,Zn,1385,1385
4i1s_B,A,Zn,88698,88698
6bwy_A,A,Zn,122633,122633
8ymz_E,A,Zn,17818,17818
6ml1_A,A,Zn,3171,3171
3v93_A,A,Zn,52744,52744
1fn9_A,A,Zn,23251,23251
4l6h_A,A,Zn,535,535
1hi9_A,A,Zn,96184,96184
1pmi_A,A,Zn,2556,2556
6yoo_A,A,Zn,2081,2081
5d88_A,A,Zn,127754,127754
4aoj_A,A,Zn,2277,2277
2znr_A,A,Zn,9271,9271
2g84_A,A,Zn,17452,17452
1r4v_A,A,Zn,77802,77802
8djh_A,A,Zn,2468,2468
